faixa_prazo,nota_media,pedidos,perc_nota_1_2,perc_nota_5
até 3 dias,4.483203042467779,4733,0.06634270019015423,0.7168814705260934
4 a 7,4.4035956964892415,21192,0.07630237825594564,0.6761985654964138
8 a 14,4.311835773009825,39896,0.08963304591939042,0.6323691598155203
15 a 21,4.139074359413343,17523,0.11658962506420134,0.5556126234092336
22 a 30,3.6075076608784475,7832,0.24284984678243104,0.40832482124616953
31+ dias,2.2399635036496353,4384,0.6332116788321168,0.16149635036496351
