seller_id,faturamento,pedidos,itens,nota_media,prazo_medio,taxa_atraso,estado,categorias,ticket_medio,participacao,seller_label
4869f7a5dfa277a7dca6462dcf3b52b2,226987.93,1124,1148,4.139473684210526,15.005261495434894,0.11585365853658537,SP,10,201.94655693950176,0.01722243962387849,4869f7a5
53243585a1d6dc2643021fd1853d8905,217940.44,348,400,4.128140703517588,13.37442884837963,0.04,BA,2,626.265632183908,0.016535972064688695,53243585
4a3ca9315b744ce9f8e9374361493884,196882.12,1772,1949,3.826673585884795,14.416470988208578,0.10979989738327348,SP,7,111.10729119638826,0.01493819704299343,4a3ca931
fa1c13f2614d7b5c4749cbc52fecda94,190917.13999999998,578,579,4.373913043478261,13.341870562272117,0.10189982728842832,SP,5,330.30647058823524,0.014485611269346157,fa1c13f2
7c67e1448b00f6e969d365cea6b010ab,186570.05,973,1355,3.3466963622865626,22.392545647123136,0.0959409594095941,SP,6,191.74722507708117,0.014155780978085446,7c67e144
7e93a43ef30c4f03f38b393420bc753a,164582.49,318,321,4.3625,11.340183887158187,0.056074766355140186,SP,7,517.555,0.012487500974931069,7e93a43e
da8622b14eb17ae2831f4ac5b9dab84a,159816.87,1311,1548,4.0713359273670555,11.169686722413628,0.07299741602067183,SP,4,121.90455377574371,0.012125915216955533,da8622b1
7a67c85e85bb2ce8582c35f2203ad736,139658.69,1145,1155,4.269398430688753,11.17094356261023,0.05887445887445888,SP,2,121.97265502183406,0.010596437248777776,7a67c85e
1025f0e2d44d7041d6cf58b6550e0bfa,138208.56,910,1420,3.862215909090909,12.051349105046949,0.09225352112676057,SP,4,151.87753846153845,0.010486410357163871,1025f0e2
955fee9216a65b617aa5c0531780ce60,131836.71,1261,1472,4.088235294117647,10.740379176731079,0.08084239130434782,SP,23,104.54933386201427,0.010002953805454667,955fee92
6560211a19b47992c3666cc44a7e94c0,120702.83,1819,1996,3.9489641232945933,9.539485927874267,0.06212424849699399,SP,7,66.35669598680593,0.009158183882756538,6560211a
46dc3b2cc0980fb8ec44634e21d2718e,120566.48,494,513,4.27755905511811,11.673397520937117,0.06432748538011696,RJ,7,244.0617004048583,0.009147838488432198,46dc3b2c
7d13fca15225358621be4086e1eb0964,112436.18000000001,558,571,4.017605633802817,15.692606558506844,0.1190893169877408,SP,7,201.49853046594984,0.008530961631261777,7d13fca1
5dceca129747e92ff8ef7a997dc4f8ca,111126.73,322,343,4.017699115044247,11.273755027804773,0.05830903790087463,SP,6,345.1140683229814,0.008431608667580017,5dceca12
620c87c171fb2a6dd6e8bb4dec959fc6,107573.9,699,754,4.252361673414305,12.826209413989588,0.09814323607427056,RJ,2,153.89685264663805,0.008162041910577105,620c87c1
1f50f920176fa81dab994f9023523100,106655.70999999999,1399,1926,3.9932221063607924,15.571830969241567,0.09449636552440291,SP,3,76.2371050750536,0.008092375334745302,1f50f920
cc419e0650a3c5ba77189a1882b7556a,101090.95999999999,1651,1719,4.142274052478134,11.539753288410575,0.05991855730075625,SP,4,61.23013930950938,0.0076701565370454515,cc419e06
a1043bafd471dff536d0c462352beb48,99309.23,702,752,4.246666666666667,13.586722905585107,0.05585106382978723,MG,3,141.4661396011396,0.007534969889230949,a1043baf
3d871de0142ce09b7081e2b9d1733cb1,93407.4,1064,1131,4.150134048257373,13.42082487023938,0.0592396109637489,SP,6,87.78890977443608,0.007087175546838405,3d871de0
edb1ef5e36e0c8cd84eb3c9b003e486d,79144.9,165,174,4.454022988505747,11.709806034482758,0.07471264367816093,RJ,1,479.66606060606057,0.0060050252971067695,edb1ef5e
ccc4bbb5f32a6ab2b7066a4130f114e3,72926.72,184,189,4.319148936170213,15.853247415735842,0.07407407407407407,PR,2,396.3408695652174,0.005533228274153132,ccc4bbb5
f7ba60f8c3f99e7ee4042fdef03b70c4,68070.0,218,229,4.218340611353712,13.124415534530165,0.16593886462882096,SP,2,312.2477064220183,0.0051647304118655505,f7ba60f8
